month	price
2024-01-01	4.36275
2024-02-01	4.09125
2024-03-01	3.68875
2024-04-01	3.7872
2024-05-01	3.52625
2024-06-01	3.275
2024-07-01	3.194
2024-08-01	3.48975
2024-09-01	3.58175
2024-10-01	3.926
2024-11-01	4.398
2024-12-01	4.788575
